"Name","Team","Age","playerid","mlbid","NameTeam"
"Moises Gutierrez","- - -",23,"sa595706",605011,"Moises Gutierrez (- - -)"
"Yoandy Rea","Tigers (R)",18,"sa3006224",681635,"Yoandy Rea (Tigers (R))"
"Wilfredo Flores","Phillies (R)",18,"sa3006606",680852,"Wilfredo Flores (Phillies (R))"
"Vidal Brujan","- - -",20,"sa872786",660644,"Vidal Brujan (- - -)"
"Harold Ramirez","Blue Jays (AA)",23,"sa660586",623912,"Harold Ramirez (Blue Jays (AA))"
"Felix Valerio","- - -",17,"sa3005613",680589,"Felix Valerio (- - -)"
"Gilberto Jimenez","Red Sox (R)",17,"sa3005507",678362,"Gilberto Jimenez (Red Sox (R))"
"Michael Chirinos","Rangers (R)",18,"sa3003239",672565,"Michael Chirinos (Rangers (R))"
"Ian Sagdal","Nationals (A+)",25,"sa875695",664921,"Ian Sagdal (Nationals (A+))"
"Daniel Rivero","Pirates (R)",17,"sa3005525",678502,"Daniel Rivero (Pirates (R))"
"Roberto Caro","- - -",24,"sa657285",622736,"Roberto Caro (- - -)"
"Diego Rincones","Giants (A-)",19,"sa916849",665651,"Diego Rincones (Giants (A-))"
"Julio Rodriguez","Mariners (R)",17,"sa3005720",667372,"Julio Rodriguez (Mariners (R))"
"Ryan McKenna","- - -",21,"sa875055",663630,"Ryan McKenna (- - -)"
"Daniel Mayora","- - -",32,"sa291160",468452,"Daniel Mayora (- - -)"
"Riley Delgado","- - -",23,"sa3004934",676629,"Riley Delgado (- - -)"
"Elehuris Montero","- - -",19,"sa872477",660707,"Elehuris Montero (- - -)"
"J.C. Escarra","- - -",23,"sa738605",641555,"J.C. Escarra (- - -)"
"Wander Franco","Giants (A-)",21,"sa828125",622568,"Wander Franco (Giants (A-))"
"Wood Myers","- - -",23,"sa3002840",668956,"Wood Myers (- - -)"
"Dylan Harris","Reds (R)",23,"sa3007918",682613,"Dylan Harris (Reds (R))"
"Laz Rivera","- - -",23,"sa3004128",650528,"Laz Rivera (- - -)"
"Jecksson Flores","Royals (AA)",24,"sa597007",600898,"Jecksson Flores (Royals (AA))"
"C.J. Chatham","- - -",23,"sa873984",641453,"C.J. Chatham (- - -)"
"Andrew Knizner","- - -",23,"sa857827",668800,"Andrew Knizner (- - -)"
"Eduardo Valencia","Tigers (R)",18,"sa3006622",680664,"Eduardo Valencia (Tigers (R))"
"Braian Fernandez","Nationals (R)",19,"sa3005751",678658,"Braian Fernandez (Nationals (R))"
"Jose Tena","Indians (R)",17,"sa3005482",677588,"Jose Tena (Indians (R))"
"Leandro Castro","- - -",29,"sa455746",516736,"Leandro Castro (- - -)"
"Jeremy Arocho","Dodgers (R)",19,"sa3004046",671080,"Jeremy Arocho (Dodgers (R))"
"Scott Hurst","- - -",22,"sa915819",656568,"Scott Hurst (- - -)"
"Austin Listi","- - -",24,"sa3004170",676730,"Austin Listi (- - -)"
"Daniel Carbonell","- - -",27,"sa829978",658135,"Daniel Carbonell (- - -)"
"Kyle McPherson","- - -",22,"sa3004696",676819,"Kyle McPherson (- - -)"
"Bo Way","- - -",26,"sa829126",657444,"Bo Way (- - -)"
"Jimmy Mojica","Tigers (R)",18,"sa3003260",672609,"Jimmy Mojica (Tigers (R))"
"John Nogowski","- - -",25,"sa829744",596056,"John Nogowski (- - -)"
"Wenceel Perez","- - -",18,"sa3003326",672761,"Wenceel Perez (- - -)"
"Alvaro Montero","Marlins (R)",18,"sa3004725",676011,"Alvaro Montero (Marlins (R))"
"Tyler James","Royals (R)",21,"sa3004293",676872,"Tyler James (Royals (R))"
"Luke Morgan","Rockies (A-)",22,"sa3006683",681965,"Luke Morgan (Rockies (A-))"
"Yariel Gonzalez","Cardinals (A)",24,"sa920278",670582,"Yariel Gonzalez (Cardinals (A))"
"Jacob Amaya","- - -",19,"sa3005081",676070,"Jacob Amaya (- - -)"
"Joey Meneses","Phillies (AAA)",26,"sa604598",608841,"Joey Meneses (Phillies (AAA))"
"Dominic Abbadessa","Blue Jays (R)",20,"sa918557",668474,"Dominic Abbadessa (Blue Jays (R))"
"Yoyner Fajardo","Pirates (R)",19,"sa3005938",679938,"Yoyner Fajardo (Pirates (R))"
"D'Shawn Knowles","- - -",17,"sa3006889",677610,"D'Shawn Knowles (- - -)"
"Viosergy Rosa","- - -",28,"sa549558",594983,"Viosergy Rosa (- - -)"
"Luis Arraez","- - -",21,"sa828153",650333,"Luis Arraez (- - -)"
"Kleiber Rodriguez","Red Sox (R)",19,"sa917072",665990,"Kleiber Rodriguez (Red Sox (R))"
"Drew Mount","Reds (R)",22,"sa3006728",681898,"Drew Mount (Reds (R))"
"Garrett Stubbs","Astros (AAA)",25,"sa827172",596117,"Garrett Stubbs (Astros (AAA))"
"Bryson Brigman","- - -",23,"sa829857",624417,"Bryson Brigman (- - -)"
"Pedro Martinez","Cubs (R)",17,"sa3005795",680932,"Pedro Martinez (Cubs (R))"
"Jose Reyes","- - -",19,"sa924090",677611,"Jose Reyes (- - -)"
"Eddy Diaz","Rockies (R)",18,"sa3004979",677647,"Eddy Diaz (Rockies (R))"
"Ernie De La Trinidad","- - -",22,"sa3003955",670797,"Ernie De La Trinidad (- - -)"
"Randy Florentino","Rangers (R)",17,"sa3005529",678594,"Randy Florentino (Rangers (R))"
"Kevin Cron","Diamondbacks (AAA)",25,"sa597807",605196,"Kevin Cron (Diamondbacks (AAA))"
"Sebastian Elizalde","- - -",26,"sa544568",590271,"Sebastian Elizalde (- - -)"
"Rangel Ravelo","Cardinals (AAA)",26,"sa548335",592660,"Rangel Ravelo (Cardinals (AAA))"
"Devyn Bolasky","- - -",25,"sa829558",657521,"Devyn Bolasky (- - -)"
"Otto Lopez","- - -",19,"sa3004268",672640,"Otto Lopez (- - -)"
"Nicky Lopez","- - -",23,"sa918022",670032,"Nicky Lopez (- - -)"
"Luis Gonzalez","- - -",22,"sa3002721",681505,"Luis Gonzalez (- - -)"
"Eddie Hernandez","Diamondbacks (R)",19,"sa917310",666519,"Eddie Hernandez (Diamondbacks (R))"
"Je'Von Ward","Brewers (R)",18,"sa3004969",669219,"Je'Von Ward (Brewers (R))"
"Scott Heineman","- - -",25,"sa827137",595981,"Scott Heineman (- - -)"
"Raynel Delgado","Indians (R)",18,"sa3007288",669384,"Raynel Delgado (Indians (R))"
"Jake Holmes","- - -",19,"sa3004815",669170,"Jake Holmes (- - -)"
"Yonathan Daza","Rockies (AA)",24,"sa597083",602074,"Yonathan Daza (Rockies (AA))"
"Jonah Davis","Pirates (R)",20,"sa3007501",663495,"Jonah Davis (Pirates (R))"
"Levi Michael","- - -",27,"sa526207",605381,"Levi Michael (- - -)"
"Eli White","Athletics (AA)",24,"sa738478",642201,"Eli White (Athletics (AA))"
"Marty Herum","- - -",26,"sa745229",645917,"Marty Herum (- - -)"
"Grant Fennell","- - -",22,"sa3007100",682538,"Grant Fennell (- - -)"
"Franklin Soto","Cardinals (R)",18,"sa3003328",672763,"Franklin Soto (Cardinals (R))"
"Adam Haseley","- - -",22,"sa915818",656514,"Adam Haseley (- - -)"
"Orlando Martinez","- - -",20,"sa3006664",678636,"Orlando Martinez (- - -)"
"Renae Martinez","- - -",24,"sa3004255",667719,"Renae Martinez (- - -)"
"Luke Burch","- - -",24,"sa3003950",664080,"Luke Burch (- - -)"
"Francisco Palma","Rockies (R)",16,"sa3006193",678686,"Francisco Palma (Rockies (R))"
"Rodrigo Orozco","Blue Jays (A+)",23,"sa740813",631227,"Rodrigo Orozco (Blue Jays (A+))"
"Edwin Rios","Dodgers (AAA)",24,"sa827170",621458,"Edwin Rios (Dodgers (AAA))"
"Ivan Castillo","Blue Jays (A+)",23,"sa657222",622668,"Ivan Castillo (Blue Jays (A+))"
"Carlos Machado","Astros (A-)",20,"sa872756",660817,"Carlos Machado (Astros (A-))"
"Taylor Walls","Rays (A)",21,"sa915802",670764,"Taylor Walls (Rays (A))"
"Seth Beer","- - -",21,"sa3006658",666179,"Seth Beer (- - -)"
"Cael Brockmeyer","- - -",26,"sa708438",641400,"Cael Brockmeyer (- - -)"
"Josh McLain","- - -",21,"sa3006850",656717,"Josh McLain (- - -)"
"Trey Hair","- - -",23,"sa3003436",676976,"Trey Hair (- - -)"
"Jeferson Morales","Twins (R)",19,"sa3005472",672373,"Jeferson Morales (Twins (R))"
"Rhett Aplin","- - -",22,"sa3006907",680501,"Rhett Aplin (- - -)"
"Zach Reks","- - -",24,"sa3004166",676646,"Zach Reks (- - -)"
"Guillermo Granadillo","Mets (R)",21,"sa917297",666788,"Guillermo Granadillo (Mets (R))"
"Ian Dawkins","- - -",22,"sa3006685",682075,"Ian Dawkins (- - -)"
"Carlos Garay","- - -",23,"sa657431",622794,"Carlos Garay (- - -)"
"Alberto Carreon","- - -",30,"sa508493",549930,"Alberto Carreon (- - -)"
"Jose Marquez","- - -",20,"sa873155",660762,"Jose Marquez (- - -)"
"Jonathan Ornelas","Rangers (R)",18,"sa3006909",680716,"Jonathan Ornelas (Rangers (R))"
"Pedro Castellanos","Red Sox (A)",20,"sa917074",665776,"Pedro Castellanos (Red Sox (A))"
"Rochest Cruz","Cubs (R)",19,"sa3003426",675845,"Rochest Cruz (Cubs (R))"
"Bryan Reynolds","Pirates (AA)",23,"sa873683",668804,"Bryan Reynolds (Pirates (AA))"
"Kevin Smith","- - -",21,"sa915864",663325,"Kevin Smith (- - -)"
"Trey Harris","- - -",22,"sa3006876",674677,"Trey Harris (- - -)"
"Ryan McBroom","- - -",26,"sa738641",643436,"Ryan McBroom (- - -)"
"Tommy Edman","- - -",23,"sa873704",669242,"Tommy Edman (- - -)"
"Rafael Marchan","Phillies (A-)",19,"sa917160",665561,"Rafael Marchan (Phillies (A-))"
"Yerwin Trejo","Phillies (R)",21,"sa917750",668567,"Yerwin Trejo (Phillies (R))"
"Rene Pinto","Rays (A+)",21,"sa826668",650907,"Rene Pinto (Rays (A+))"
"Luis Milla","Twins (R)",19,"sa3006592",678267,"Luis Milla (Twins (R))"
"Jean Selmo","Cardinals (R)",18,"sa3002704",672670,"Jean Selmo (Cardinals (R))"
"Hunter Jones","- - -",26,"sa548556",594872,"Hunter Jones (- - -)"
"Aldrem Corredor","- - -",22,"sa736852",625506,"Aldrem Corredor (- - -)"
"Devlin Granberg","Red Sox (A-)",22,"sa3006671",680748,"Devlin Granberg (Red Sox (A-))"
"Richie Martin","Athletics (AA)",23,"sa659080",621006,"Richie Martin (Athletics (AA))"
"Adanson Cruz","- - -",17,"sa3005722",677620,"Adanson Cruz (- - -)"
"Ramon Urias","- - -",24,"sa597169",602104,"Ramon Urias (- - -)"
"Jared Young","- - -",22,"sa3004937",676724,"Jared Young (- - -)"
"Ben Ruta","- - -",24,"sa918694",670352,"Ben Ruta (- - -)"
"Heath Quinn","Giants (A+)",23,"sa737904",641991,"Heath Quinn (Giants (A+))"
"Pablo O'Connor","- - -",22,"sa3006865",668220,"Pablo O'Connor (- - -)"
"Evan White","- - -",22,"sa915774",657108,"Evan White (- - -)"
"Bladimir Restituyo","- - -",16,"sa3006621",678837,"Bladimir Restituyo (- - -)"
"Connor Joe","- - -",25,"sa827153",656582,"Connor Joe (- - -)"
"Dylan Moore","- - -",25,"sa875186",664238,"Dylan Moore (- - -)"
"Will Maddox","Tigers (AA)",26,"sa827323",657668,"Will Maddox (Tigers (AA))"
"Madison Stokes","- - -",22,"sa3008076",657010,"Madison Stokes (- - -)"
"Alexander Palma","Yankees (A+)",22,"sa739541",620444,"Alexander Palma (Yankees (A+))"
"Hunter Cole","- - -",25,"sa603087",607500,"Hunter Cole (- - -)"
"Tristan Pompey","- - -",21,"sa3008077",659407,"Tristan Pompey (- - -)"
"Dom Thompson-Williams","- - -",23,"sa829483",657779,"Dom Thompson-Williams (- - -)"
"Luis Rengifo","- - -",21,"sa826671",650859,"Luis Rengifo (- - -)"
"Jack Kruger","- - -",23,"sa918429",667674,"Jack Kruger (- - -)"
"Jember Gutierrez","Rangers (R)",18,"sa3003324",672758,"Jember Gutierrez (Rangers (R))"
"Brandon Sandoval","- - -",23,"sa3002728",676825,"Brandon Sandoval (- - -)"
"Johnny Davis","- - -",28,"sa738287",643275,"Johnny Davis (- - -)"
"Jancarlos Cintron","Diamondbacks (A)",23,"sa3004065",676857,"Jancarlos Cintron (Diamondbacks (A))"
"Taylor Grzelakowski","Twins (A+)",24,"sa3005298",675003,"Taylor Grzelakowski (Twins (A+))"
"Fabian Pertuz","Cubs (R)",17,"sa3005500",678285,"Fabian Pertuz (Cubs (R))"
"Chad Spanberger","- - -",22,"sa3004242",656989,"Chad Spanberger (- - -)"
"Luis Garcia","- - -",18,"sa962605",671277,"Luis Garcia (- - -)"
"Josh Naylor","Padres (AA)",21,"sa874243",647304,"Josh Naylor (Padres (AA))"
"Luis Barrera","- - -",22,"sa736690",642456,"Luis Barrera (- - -)"
"Andy Yerzy","Diamondbacks (A-)",19,"sa917939",647378,"Andy Yerzy (Diamondbacks (A-))"
"Jose Azocar","- - -",22,"sa735839",640492,"Jose Azocar (- - -)"
"Santiago Espinal","- - -",23,"sa918188",669289,"Santiago Espinal (- - -)"
"Ryan Mountcastle","Orioles (AA)",21,"sa874734",663624,"Ryan Mountcastle (Orioles (AA))"
"Henry Ramos","Dodgers (AAA)",26,"sa548440",592656,"Henry Ramos (Dodgers (AAA))"
"Chuck Taylor","Mariners (AA)",24,"sa658001",623173,"Chuck Taylor (Mariners (AA))"
"Felix Perez","- - -",33,"sa547904",591977,"Felix Perez (- - -)"
"Hunter Stovall","Rockies (R)",21,"sa3008181",667663,"Hunter Stovall (Rockies (R))"
"Olivier Basabe","- - -",20,"sa3004933",676616,"Olivier Basabe (- - -)"
"Austin Beck","Athletics (A)",19,"sa3004055",675648,"Austin Beck (Athletics (A))"
"Michael Osinski","- - -",22,"sa3004298",676943,"Michael Osinski (- - -)"
"Randy Cesar","Astros (AA)",23,"sa657542",622689,"Randy Cesar (Astros (AA))"
"Logan Sowers","White Sox (R)",22,"sa829551",656987,"Logan Sowers (White Sox (R))"
"Jake Scheiner","Phillies (A)",22,"sa3004160",676595,"Jake Scheiner (Phillies (A))"
"Bret Boswell","- - -",23,"sa918769",641385,"Bret Boswell (- - -)"
"Brian Miller","- - -",22,"sa915826",675649,"Brian Miller (- - -)"
"Jhon Solarte","Blue Jays (R)",17,"sa3005510",678389,"Jhon Solarte (Blue Jays (R))"
"Gersel Pitre","- - -",21,"sa828176",649957,"Gersel Pitre (- - -)"
"Ronny Brito","- - -",19,"sa917329",665798,"Ronny Brito (- - -)"
"Jose Pujols","- - -",22,"sa739662",620452,"Jose Pujols (- - -)"
"Jacob Robson","- - -",23,"sa658804",615699,"Jacob Robson (- - -)"
"Carlos Arroyo","Pirates (R)",16,"sa3005576",678863,"Carlos Arroyo (Pirates (R))"
"Osiris Castillo","Mariners (R)",17,"sa3005786",679303,"Osiris Castillo (Mariners (R))"
"Daulton Varsho","- - -",21,"sa3002838",662139,"Daulton Varsho (- - -)"
"Manuel Geraldo","Giants (A)",21,"sa827970",645283,"Manuel Geraldo (Giants (A))"
"Johnathan Rodriguez","Indians (R)",18,"sa3004147",671286,"Johnathan Rodriguez (Indians (R))"
"Joey Bart","- - -",21,"sa3007786",663698,"Joey Bart (- - -)"
"Austin Riley","- - -",21,"sa874756",663586,"Austin Riley (- - -)"
"Jay Gonzalez","- - -",26,"sa549777",594836,"Jay Gonzalez (- - -)"
"Lenyn Sosa","White Sox (R)",18,"sa3004051",672820,"Lenyn Sosa (White Sox (R))"
"Drew Waters","- - -",19,"sa3004378",671221,"Drew Waters (- - -)"
"Andrew Warner","- - -",22,"sa3007095",682264,"Andrew Warner (- - -)"
"Jamie Ritchie","- - -",25,"sa829058",657739,"Jamie Ritchie (- - -)"
"Daniel Santos","Mariners (R)",19,"sa917593",665855,"Daniel Santos (Mariners (R))"
"Blake Rutherford","White Sox (A+)",21,"sa917932",666164,"Blake Rutherford (White Sox (A+))"
"Gavin Sheets","White Sox (A+)",22,"sa829797",657757,"Gavin Sheets (White Sox (A+))"
"Ke'Bryan Hayes","Pirates (AA)",21,"sa874730",663647,"Ke'Bryan Hayes (Pirates (AA))"
"Jose Caraballo","Royals (R)",21,"sa828151",645280,"Jose Caraballo (Royals (R))"
"Francisco Hernandez","Cardinals (R)",18,"sa3004942",677731,"Francisco Hernandez (Cardinals (R))"
"Adam Hall","Orioles (A-)",19,"sa3005077",647228,"Adam Hall (Orioles (A-))"
"Keston Hiura","- - -",21,"sa3004043",669374,"Keston Hiura (- - -)"
"Robby Rinn","- - -",25,"sa918595",670463,"Robby Rinn (- - -)"
"Yordan Alvarez","- - -",21,"sa943524",670541,"Yordan Alvarez (- - -)"
"Wilson Garcia","- - -",24,"sa596287",600902,"Wilson Garcia (- - -)"
"Robbie Tenerowicz","Rays (A+)",23,"sa738999",642134,"Robbie Tenerowicz (Rays (A+))"
"Jamie Westbrook","- - -",23,"sa737824",642197,"Jamie Westbrook (- - -)"
"Humberto Arteaga","Royals (AAA)",24,"sa598821",600858,"Humberto Arteaga (Royals (AAA))"
"Oscar Gonzalez","Indians (A)",20,"sa872782",678860,"Oscar Gonzalez (Indians (A))"
"Nick Hutchins","Royals (R)",22,"sa3004395",676829,"Nick Hutchins (Royals (R))"
"Jose Caballero","- - -",21,"sa3004817",676609,"Jose Caballero (- - -)"
"Heriberto Hernandez","Rangers (R)",18,"sa3005630",681715,"Heriberto Hernandez (Rangers (R))"
"Lorenzo Cedrola","- - -",20,"sa872850",661411,"Lorenzo Cedrola (- - -)"
"Royce Lewis","- - -",19,"sa3004259",668904,"Royce Lewis (- - -)"
"Widimer Joaquin","Cubs (R)",17,"sa3005760",678761,"Widimer Joaquin (Cubs (R))"
"Austin Davidson","- - -",25,"sa599216",607207,"Austin Davidson (- - -)"
"Abiezel Ramirez","Rays (R)",18,"sa3003282",672656,"Abiezel Ramirez (Rays (R))"
"Nolan Gorman","- - -",18,"sa3007017",669357,"Nolan Gorman (- - -)"
"Travis Jones","- - -",22,"sa829805",657629,"Travis Jones (- - -)"
"Brhet Bewley","- - -",21,"sa3007289",674029,"Brhet Bewley (- - -)"
"Cade Gotta","- - -",26,"sa829411",657598,"Cade Gotta (- - -)"
"Pabel Manzanero","Reds (R)",22,"sa736879",642298,"Pabel Manzanero (Reds (R))"
"Jake Noll","- - -",24,"sa874225",669738,"Jake Noll (- - -)"
"Jose Rodriguez","White Sox (R)",17,"sa3005788",679563,"Jose Rodriguez (White Sox (R))"
"Dairon Blanco","Athletics (A+)",25,"sa3005386",680118,"Dairon Blanco (Athletics (A+))"
"Livan Soto","Angels (R)",18,"sa3004264",670869,"Livan Soto (Angels (R))"
"Zach Sterry","Red Sox (A)",24,"sa3005054",676626,"Zach Sterry (Red Sox (A))"
"Manuel Melendez","Rockies (A+)",21,"sa828329",650513,"Manuel Melendez (Rockies (A+))"
"Kevin Merrell","- - -",22,"sa915707",656736,"Kevin Merrell (- - -)"
"Austin Allen","Padres (AA)",24,"sa875025",664119,"Austin Allen (Padres (AA))"
"Jo Adell","- - -",19,"sa3004837",666176,"Jo Adell (- - -)"
"Luis Yander La O","Rangers (AA)",26,"sa863716",661277,"Luis Yander La O (Rangers (AA))"
"Hunter Hargrove","Athletics (A)",23,"sa3004039",667495,"Hunter Hargrove (Athletics (A))"
"Justin Twine","- - -",22,"sa828686",657064,"Justin Twine (- - -)"
"Carlos Perez","White Sox (A)",21,"sa828577",656024,"Carlos Perez (White Sox (A))"
"Billy Fleming","- - -",25,"sa836204",659003,"Billy Fleming (- - -)"
"Julio Carreras","- - -",18,"sa3005598",679734,"Julio Carreras (- - -)"
"Andy Young","- - -",24,"sa919031",670370,"Andy Young (- - -)"
"Bubba Thompson","Rangers (A)",20,"sa3004140",669352,"Bubba Thompson (Rangers (A))"
"Brewer Hicklen","- - -",22,"sa3004159",676551,"Brewer Hicklen (- - -)"
"Jordan Qsar","- - -",22,"sa3007078",682040,"Jordan Qsar (- - -)"
"Yoel Yanqui","Diamondbacks (A)",22,"sa3003437",677120,"Yoel Yanqui (Diamondbacks (A))"
"Yermin Mercedes","White Sox (A+)",25,"sa597096",606213,"Yermin Mercedes (White Sox (A+))"
"Edwin Figuera","- - -",20,"sa872730",660741,"Edwin Figuera (- - -)"
"Bryan De La Cruz","- - -",21,"sa828304",650559,"Bryan De La Cruz (- - -)"
"Ernie Clement","- - -",22,"sa915732",676391,"Ernie Clement (- - -)"
"Oswel Leones","Brewers (R)",17,"sa3005945",681610,"Oswel Leones (Brewers (R))"
"Jose Rojas","- - -",25,"sa918928",670351,"Jose Rojas (- - -)"
"Luis Campusano","Padres (A)",19,"sa3004041",669134,"Luis Campusano (Padres (A))"
"Nick Tanielu","- - -",25,"sa829082",657027,"Nick Tanielu (- - -)"
"Tyler Frank","Rays (A-)",21,"sa3006660",667611,"Tyler Frank (Rays (A-))"
"Mike Siani","Reds (R)",18,"sa3008182",672279,"Mike Siani (Reds (R))"
"Rafael Lantigua","- - -",20,"sa3003219",672463,"Rafael Lantigua (- - -)"
"Jorge Flores","- - -",26,"sa550275",592312,"Jorge Flores (- - -)"
"Johneshwy Fargas","Giants (A+)",23,"sa737941",641561,"Johneshwy Fargas (Giants (A+))"
